All goals are:  ['get[wood]', 'make[stick]', 'get[iron]', 'make[axe]', 'get[gem]']
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  get[wood]
ingredient_list -  []
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4}
Built new networks
/home/ksridhar/anaconda3/envs/DL_env/lib/python3.8/site-packages/torch/nn/modules/container.py:119: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
At episode -  2440 Exploration_number - 0.0 Average reward - 0.705
At episode -  2460 Exploration_number - 0.0 Average reward - 0.710
At episode -  2480 Exploration_number - 0.0 Average reward - 0.695
At episode -  2500 Exploration_number - 0.0 Average reward - 0.560
At episode -  2520 Exploration_number - 0.0 Average reward - 0.655
At episode -  2540 Exploration_number - 0.0 Average reward - 0.630
At episode -  2560 Exploration_number - 0.0 Average reward - 0.520
At episode -  2580 Exploration_number - 0.0 Average reward - 0.650
At episode -  2600 Exploration_number - 0.0 Average reward - 0.820
At episode -  2620 Exploration_number - 0.0 Average reward - 0.605
At episode -  2640 Exploration_number - 0.0 Average reward - 0.660
At episode -  2660 Exploration_number - 0.0 Average reward - 0.645
At episode -  2680 Exploration_number - 0.0 Average reward - 0.770
At episode -  2700 Exploration_number - 0.0 Average reward - 0.750
At episode -  2720 Exploration_number - 0.0 Average reward - 0.590
At episode -  2740 Exploration_number - 0.0 Average reward - 0.710
At episode -  2760 Exploration_number - 0.0 Average reward - 0.780
At episode -  2780 Exploration_number - 0.0 Average reward - 0.680
At episode -  2800 Exploration_number - 0.0 Average reward - 0.795
At episode -  2820 Exploration_number - 0.0 Average reward - 0.665
At episode -  2840 Exploration_number - 0.0 Average reward - 0.615
At episode -  2860 Exploration_number - 0.0 Average reward - 0.630
At episode -  2880 Exploration_number - 0.0 Average reward - 0.570
At episode -  2900 Exploration_number - 0.0 Average reward - 0.700
At episode -  2920 Exploration_number - 0.0 Average reward - 0.750
At episode -  2940 Exploration_number - 0.0 Average reward - 0.685
At episode -  2960 Exploration_number - 0.0 Average reward - 0.480
At episode -  2980 Exploration_number - 0.0 Average reward - 0.720
At episode -  3000 Exploration_number - 0.0 Average reward - 0.740
At episode -  3020 Exploration_number - 0.0 Average reward - 0.490
At episode -  3040 Exploration_number - 0.0 Average reward - 0.710
At episode -  3060 Exploration_number - 0.0 Average reward - 0.725
At episode -  3080 Exploration_number - 0.0 Average reward - 0.705
At episode -  3100 Exploration_number - 0.0 Average reward - 0.670
At episode -  3120 Exploration_number - 0.0 Average reward - 0.660
At episode -  3140 Exploration_number - 0.0 Average reward - 0.605
At episode -  3160 Exploration_number - 0.0 Average reward - 0.705
At episode -  3180 Exploration_number - 0.0 Average reward - 0.740
At episode -  3200 Exploration_number - 0.0 Average reward - 0.600
At episode -  3220 Exploration_number - 0.0 Average reward - 0.770
At episode -  3240 Exploration_number - 0.0 Average reward - 0.595
At episode -  3260 Exploration_number - 0.0 Average reward - 0.590
At episode -  3280 Exploration_number - 0.0 Average reward - 0.655
At episode -  3300 Exploration_number - 0.0 Average reward - 0.695
At episode -  3320 Exploration_number - 0.0 Average reward - 0.600
At episode -  3340 Exploration_number - 0.0 Average reward - 0.745
At episode -  3360 Exploration_number - 0.0 Average reward - 0.920
